Android,Desktop,Iphone,city,email,id,phone,firstName,surname,country
True,False,False,Montreal,Jamie.Bright@example.com,1,533-849-3913,Jamie,Bright,Canada
True,True,True,Toronto,Yusra.Fletcher@example.com,3,385-702-8874,Yusra,Fletcher,Canada
True,False,False,Paris,Beatrix.Everett@example.com,5,194-640-2758,Beatrix,Everett,France
True,False,False,Toronto,Asa.Vazquez@example.com,9,504-421-4485,Asa,Vazquez,Canada
True,True,False,Toronto,Carmen.Burton@example.com,19,527-368-7429,Carmen,Burton,Canada
True,True,False,London,Donald.Stone@example.com,20,730-260-4630,Donald,Stone,United Kingdom
True,False,True,Paris,Isabelle.Lopez@example.com,24,981-878-3234,Isabelle,Lopez,France
True,True,True,Barcelona,Julius.Garrett@example.com,26,866-664-7969,Julius,Garrett,Spain
True,True,True,Barcelona,Dafydd.Preston@example.com,29,368-987-3267,Dafydd,Preston,Spain
True,False,False,Montreal,Stephanie.Rice@example.com,30,830-901-9870,Stephanie,Rice,Canada
False,False,True,Montreal,Bradley.Butler@example.com,31,937-172-2269,Bradley,Butler,Canada
True,False,True,Barcelona,Louise.Daniel@example.com,33,917-348-4728,Louise,Daniel,Spain
False,False,True,Toronto,Livia.Howe@example.com,34,868-828-4315,Livia,Howe,Canada
True,False,True,Toronto,Lili.Schroeder@example.com,37,640-348-2128,Lili,Schroeder,Canada
True,False,False,London,Jeremiah.Martin@example.com,38,277-350-5557,Jeremiah,Martin,United Kingdom
True,False,True,Barcelona,Keyaan.Holland@example.com,39,845-797-2979,Keyaan,Holland,Spain
True,True,True,London,Cody.Riley@example.com,41,872-906-9681,Cody,Riley,United Kingdom
False,False,True,London,Tomas.Griffith@example.com,42,492-337-4468,Tomas,Griffith,United Kingdom
True,False,True,Montreal,Amaan.Rangel@example.com,52,837-435-2302,Amaan,Rangel,Canada
False,True,False,London,Billie.Price@example.com,57,917-866-8131,Billie,Price,United Kingdom
True,True,False,London,Phoebe.Weiss@example.com,59,299-560-9666,Phoebe,Weiss,United Kingdom
False,False,True,Toronto,Aled.Silva@example.com,65,612-360-5367,Aled,Silva,Canada
False,False,True,Paris,Saif.Green@example.com,68,978-659-7286,Saif,Green,France
True,True,True,Toronto,Valerie.Oneal@example.com,70,651-335-6190,Valerie,Oneal,Canada
False,False,True,London,Ilyas.Dunlap@example.com,71,491-981-1293,Ilyas,Dunlap,United Kingdom
True,False,True,Paris,Kara.Stewart@example.com,73,794-314-2500,Kara,Stewart,France
True,True,True,Toronto,Myrtle.Doyle@example.com,74,525-796-7991,Myrtle,Doyle,Canada
True,False,False,London,Angela.Mcmillan@example.com,78,868-463-1850,Angela,Mcmillan,United Kingdom
True,True,True,London,Amir.Clark@example.com,91,924-287-4068,Amir,Clark,United Kingdom
True,True,True,London,Usman.Swanson@example.com,100,431-103-9132,Usman,Swanson,United Kingdom
False,False,True,Toronto,Caspar.Hudson@example.com,103,830-584-4874,Caspar,Hudson,Canada
False,True,False,Toronto,Mohsin.Tucker@example.com,108,174-389-8757,Mohsin,Tucker,Canada
False,True,True,Toronto,Laurie.Melendez@example.com,114,488-382-1416,Laurie,Melendez,Canada
True,False,True,Montreal,Tanya.Watson@example.com,115,432-515-4933,Tanya,Watson,Canada
False,True,False,Paris,Priya.Moore@example.com,117,455-692-4736,Priya,Moore,France
True,False,True,Paris,Arron.Peck@example.com,119,226-392-7970,Arron,Peck,France
True,False,True,Paris,Justin.Rowland@example.com,120,665-725-2354,Justin,Rowland,France
False,True,False,London,Jasper.Brandt@example.com,121,527-756-7352,Jasper,Brandt,United Kingdom
False,True,True,Toronto,Teresa.Mccarty@example.com,122,223-114-4003,Teresa,Mccarty,Canada
True,False,True,Toronto,Finnian.Fisher@example.com,123,382-879-9946,Finnian,Fisher,Canada
